Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Peppers,7.0,25-25,6.68,14,15,19
Tarragon,6.5,22-28,1.54,5,9,24
Beets,5.6,25-30,5.58,6,13,16
Chives,6.2,22-28,3.25,8,14,30
Chamomile,5.6,15-25,9.7,11,12,16
Tea,6.1,25-27,6.06,15,15,30
Mint,6.8,29-33,2.08,7,6,19
Pomegranate,5.7,17-35,9.21,7,14,22
Broccoli,6.1,16-27,4.29,5,14,36
Fig,6.3,17-33,5.64,10,5,29
Watercress,5.8,22-29,7.15,13,11,23
Chili Pepper,6.4,28-32,9.39,7,8,36
Moringa,6.0,17-27,1.71,10,5,21
Luffa,6.7,27-32,7.43,15,6,38
Mint,5.7,24-30,5.52,12,7,27
Mango,6.0,20-29,4.76,13,5,17
Snake Gourd,7.0,17-25,9.19,11,10,25
Peppermint,5.9,24-34,1.81,9,5,17
Broccoli,6.5,23-33,7.63,9,15,37
Chili Pepper,6.5,16-32,6.41,9,12,30
Pineapple,5.9,17-31,1.04,12,12,22
Dandelion Greens,6.3,21-29,9.8,5,15,15
Saffron,6.6,25-28,9.82,13,7,40
Tomato,6.1,30-34,6.44,6,13,37
Bok Choy,5.8,27-31,4.65,5,12,31
Basil,6.3,30-27,3.47,7,13,33
Mustard Greens,6.7,30-33,3.71,13,8,28
Watercress,6.3,26-31,2.68,14,12,19
Avocado,6.6,17-29,3.09,15,9,18
Echinacea,6.8,24-26,8.77,15,10,19
Pomegranate,6.7,30-29,3.27,15,5,26
Stevia,6.3,30-31,1.54,5,9,36
Sugarcane,5.9,20-26,4.56,6,14,40
Melons,5.6,16-29,5.44,6,11,26
Pomegranate,6.8,22-26,4.07,13,10,22
Rosemary,6.1,28-33,1.67,15,15,37
Marjoram,6.8,27-25,2.72,10,12,37
Agarwood,5.8,21-33,8.41,6,15,32
Agarwood,6.8,20-30,7.19,15,15,15
Beans,6.1,27-32,5.31,12,13,31
Holy Basil,5.8,25-33,4.28,5,10,31
Marjoram,6.1,16-32,9.02,6,6,24
Pineapple,6.2,26-31,9.77,8,13,21
Pomegranate,6.5,29-35,6.26,10,13,29
Sage,5.8,20-30,9.12,14,10,31
Arugula,5.9,28-26,2.33,6,9,27
Rosemary,5.9,23-34,2.47,8,13,20
Jackfruit,6.2,24-29,5.13,12,14,35
Chives,6.1,29-30,6.15,10,12,38
Coconut,6.9,18-34,5.85,5,11,17
Ceylon Spinach,6.1,15-28,2.31,10,11,33
Cranberry,6.6,25-31,8.86,13,14,24
Ginger,5.7,15-26,2.22,13,15,40
Broccoli,6.6,23-32,8.61,12,5,36
Endive,5.8,30-29,1.9,8,9,26
Blueberry,6.5,25-34,3.26,15,10,23
Arugula,6.4,28-35,3.37,11,14,25
Carrots,5.8,17-28,6.68,15,8,38
Passionfruit,6.7,30-35,4.35,8,11,16
Brussels Sprouts,6.7,18-27,9.96,11,10,25
Blueberry,6.6,30-25,2.65,14,9,37
Chili Pepper,5.6,18-27,3.73,11,8,36
Cauliflower,6.7,18-28,3.4,15,8,37
Neem,5.5,21-33,4.65,15,6,33
Strawberry,6.6,27-29,9.64,14,13,30
Agarwood,6.8,19-29,6.1,14,13,19
Green Onions,6.2,20-26,3.97,15,13,20
Peppermint,6.2,27-33,5.1,12,14,25
Lettuce,5.6,22-27,7.38,10,10,39
Rose Apple,6.4,24-33,8.61,7,12,31
Blackberry,6.1,28-31,1.53,11,7,37
